source,time_step,171_0,666_0,427_0,837_0,167_0,167_1,167_2,167_3,167_4,167_5,167_6,167_7,167_8,167_9,309_0,272_0,272_1,272_2,272_3,272_4,272_5,272_6,272_7,272_8,272_9,835_0,370_0,291_0,291_1,291_2,291_3,291_4,291_5,291_6,291_7,291_8,291_9,291_10,158_0,158_1,158_2,158_3,158_4,158_5,158_6,158_7,158_8,158_9,100_0,459_0,459_1,459_2,459_3,459_4,459_5,459_6,459_7,459_8,459_9,459_10,459_11,459_12,459_13,459_14,459_15,459_16,459_17,459_18,459_19,397_0,397_1,397_2,397_3,397_4,397_5,397_6,397_7,397_8,397_9,397_10,397_11,397_12,397_13,397_14,397_15,397_16,397_17,397_18,397_19,397_20,397_21,397_22,397_23,397_24,397_25,397_26,397_27,397_28,397_29,397_30,397_31,397_32,397_33,397_34,397_35,RUL,event,Spec_0_Cat1,Spec_1_Cat1,Spec_1_Cat10,Spec_1_Cat12,Spec_1_Cat15,Spec_1_Cat16,Spec_1_Cat2,Spec_1_Cat3,Spec_1_Cat4,Spec_1_Cat5,Spec_1_Cat7,Spec_1_Cat9,Spec_2_Cat1,Spec_2_Cat10,Spec_2_Cat2,Spec_2_Cat3,Spec_2_Cat5,Spec_2_Cat8,Spec_3_Cat1,Spec_3_Cat2,Spec_3_Cat3,Spec_5_Cat1,Spec_5_Cat2,Spec_6_Cat1,Spec_6_Cat2,Spec_6_Cat3,Spec_6_Cat4,Spec_7_Cat1,Spec_7_Cat2,Spec_7_Cat4,Spec_7_Cat6,Spec_7_Cat7
52,2020-01-01 03:10:00,273630.0,7274.0,9960633.0,834.0,0.0,1124866.0,1591275.0,823245.0,2491680.0,9851850.0,376755.0,18646.0,0.0,0.0,28.0,1369225.0,872131.0,441663.0,802504.0,10697414.0,47126.0,0.0,0.0,0.0,0.0,10416160.0,0.0,1424.0,606.0,606.0,1035.0,363.0,222.0,411.0,258.0,186.0,618.0,159.0,143664.0,2888534.0,5024581.0,1797048.0,1265724.0,836593.0,492840.0,282852.0,205789.0,197821.0,945490.0,212.71138888888,72.330027777778,68.587583333334,79.896166666666,86.073222222222,97.043972222222,120.000861111112,142.933277777778,376.96344444444,553.02763888888,366.55358333334,434.84433333334,534.16280555556,682.52322222222,1004.07038888888,4880.1028055556,5.8238611111112,0.21316666666666,0.0053611111111112,0.0009722222222222,673009.0,427299.0,333186.0,12673.0,5618.0,1048.0,420472.0,274189.0,852770.0,7677.0,1243.0,36.0,58634.0,176193.0,520290.0,6481.0,1177.0,40.0,13299.0,112200.0,206389.0,5620.0,452.0,16.0,9949.0,66334.0,87034.0,5257.0,414.0,0.0,932.0,32240.0,57354.0,8153.0,816.0,24.0,224.8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2020-01-01 03:11:00,355800.0,9185.0,12852203.0,1066.0,1441.0,1288156.0,1928205.0,1045155.0,3280275.0,12497715.0,502035.0,33706.0,0.0,0.0,70.0,1639144.0,1062425.0,552774.0,1070694.0,13604293.0,84527.0,0.0,0.0,0.0,0.0,13186420.0,0.0,1733.0,705.0,702.0,1167.0,414.0,255.0,469.0,294.0,207.0,697.0,189.0,232716.0,3642194.0,6152689.0,2272464.0,1635468.0,1100881.0,637945.0,377557.0,275317.0,300949.0,1086760.0,244.32613888888,82.851416666666,82.72275,97.021444444444,102.181666666666,115.104055555556,146.76838888889,173.237222222222,459.20238888888,693.86591666666,470.30083333334,562.77055555556,701.36122222222,896.27197222222,1417.18344444444,6357.2859166666,6.8943333333334,0.26802777777778,0.0053611111111112,0.0009722222222222,853141.0,518496.0,445355.0,24645.0,12684.0,2404.0,483030.0,337455.0,1066115.0,9209.0,1567.0,84.0,66171.0,220425.0,691982.0,7921.0,1722.0,80.0,16651.0,141365.0,276405.0,6760.0,637.0,32.0,11289.0,83279.0,113155.0,6461.0,502.0,4.0,1060.0,46856.0,81598.0,12249.0,1949.0,40.0,222.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2020-01-01 03:12:00,444795.0,10648.0,15975763.0,1282.0,6511.0,1536376.0,2494125.0,1396860.0,4172685.0,15249285.0,653625.0,50176.0,0.0,0.0,84.0,2067429.0,1439464.0,760358.0,1471198.0,16626130.0,113283.0,0.0,0.0,0.0,0.0,16454750.0,0.0,2117.0,894.0,846.0,1401.0,495.0,285.0,559.0,363.0,273.0,880.0,234.0,294493.0,4467938.0,7705885.0,3008977.0,2050525.0,1330561.0,765133.0,450865.0,324001.0,350426.0,1384246.0,308.37169444444,98.765694444444,97.471888888888,114.89675,120.377916666666,136.858305555556,173.33363888889,204.55891666666,537.69711111112,835.34822222222,560.94916666666,685.88977777778,862.30980555556,1102.00727777778,1789.4306388889,7985.7989444444,9.1133055555556,0.31108333333334,0.0053611111111112,0.0009722222222222,1094163.0,643720.0,555347.0,26613.0,16080.0,2512.0,583766.0,425599.0,1337807.0,10998.0,1907.0,96.0,83336.0,275934.0,872170.0,9370.0,2003.0,104.0,21067.0,175265.0,344357.0,7972.0,757.0,36.0,13321.0,101451.0,135363.0,7271.0,546.0,4.0,1140.0,53656.0,95094.0,15289.0,2173.0,40.0,216.4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2020-01-01 03:13:00,566205.0,14736.0,20336878.0,1914.0,7081.0,1702832.0,2923155.0,1671030.0,4777140.0,20222205.0,862065.0,56882.0,0.0,0.0,112.0,2337387.0,1683462.0,902176.0,1733226.0,21624709.0,145458.0,0.0,0.0,0.0,0.0,20810560.0,0.0,2849.0,1122.0,1065.0,1731.0,576.0,342.0,706.0,480.0,363.0,1120.0,285.0,381805.0,5626779.0,9610333.0,3885434.0,2725549.0,1686601.0,946285.0,551810.0,410101.0,415082.0,1690161.0,365.23169444444,121.180833333334,122.434583333334,142.286666666666,152.190666666666,174.804611111112,221.85286111112,261.91527777778,695.51708333334,1060.02697222222,724.56544444444,884.28386111112,1079.90269444444,1429.5828888889,2269.8388055556,10167.5515,11.1333611111112,0.42130555555556,0.0119444444444444,0.0009722222222222,1361136.0,847561.0,720928.0,30214.0,17741.0,3264.0,675815.0,561023.0,1663183.0,13859.0,2407.0,104.0,96800.0,366162.0,1147262.0,11775.0,2403.0,112.0,25708.0,228257.0,435381.0,9664.0,966.0,36.0,16129.0,124967.0,162696.0,8476.0,646.0,8.0,1372.0,67721.0,120390.0,19885.0,2574.0,40.0,213.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2020-01-01 03:14:00,572400.0,14743.0,20581881.0,1914.0,7081.0,1812798.0,2965125.0,1701840.0,4895160.0,20365710.0,862065.0,56882.0,0.0,0.0,112.0,2458171.0,1701987.0,919817.0,1764140.0,21841913.0,145979.0,0.0,0.0,0.0,0.0,21107140.0,0.0,2924.0,1155.0,1078.0,1776.0,591.0,348.0,712.0,484.0,372.0,1138.0,288.0,383665.0,5788971.0,9737162.0,3936855.0,2747989.0,1692949.0,948601.0,552722.0,410234.0,415334.0,1733301.0,377.40125,123.936,124.562027777778,143.626138888888,153.458083333334,176.247555555556,223.78508333334,264.51280555556,702.70475,1071.24780555556,733.91122222222,893.76855555556,1094.65438888888,1447.64161111112,2303.1103888888,10209.5224166666,11.1380555555556,0.42130555555556,0.0119444444444444,0.0009722222222222,1377872.0,863786.0,726620.0,30467.0,17793.0,3264.0,705931.0,577887.0,1680080.0,14036.0,2447.0,120.0,98397.0,374655.0,1153643.0,11868.0,2416.0,116.0,26124.0,230723.0,436577.0,9680.0,970.0,36.0,16365.0,125539.0,162854.0,8484.0,646.0,8.0,1389.0,67766.0,120495.0,19885.0,2574.0,40.0,212.2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2020-01-01 03:15:00,604380.0,15443.0,21767197.0,1963.0,7081.0,1957548.0,3127020.0,1802955.0,5069851.0,21651900.0,863656.0,56882.0,0.0,0.0,112.0,2623414.0,1789803.0,966786.0,1840827.0,23089757.0,150503.0,0.0,0.0,0.0,0.0,22299400.0,0.0,3104.0,1200.0,1150.0,1968.0,660.0,396.0,808.0,532.0,384.0,1201.0,306.0,393961.0,6156015.0,10264706.0,4197363.0,2923693.0,1779854.0,985561.0,572558.0,423170.0,421370.0,1821367.0,397.76677777778,133.057666666666,134.530916666666,153.160833333334,163.896027777778,187.88013888889,237.63477777778,281.17619444444,750.90602777778,1127.21863888888,768.16852777778,933.52341666666,1147.64822222222,1512.33327777778,2414.00825,10760.3228888888,11.4597222222222,0.42841666666666,0.0119444444444444,0.0009722222222222,1445761.0,918033.0,762224.0,31695.0,18086.0,3273.0,745935.0,616271.0,1788557.0,14888.0,2620.0,120.0,103970.0,400591.0,1223380.0,12604.0,2524.0,116.0,28286.0,244787.0,453990.0,9973.0,1026.0,36.0,17277.0,132348.0,168806.0,8813.0,671.0,8.0,1473.0,69122.0,122675.0,20253.0,2595.0,40.0,210.8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2020-01-01 03:16:00,634320.0,16367.0,22912143.0,2076.0,7081.0,2065054.0,3235155.0,1865356.0,5238766.0,22919205.0,863881.0,56882.0,0.0,0.0,112.0,2737437.0,1836188.0,987833.0,1900172.0,24334663.0,158342.0,0.0,0.0,0.0,0.0,23392560.0,0.0,3263.0,1242.0,1201.0,2103.0,717.0,441.0,926.0,601.0,397.0,1291.0,318.0,410581.0,6503319.0,10754187.0,4437267.0,3068701.0,1849946.0,1018429.0,588842.0,436610.0,429027.0,1875507.0,410.77341666666,141.101694444444,144.317361111112,163.493083333334,175.245111111112,200.30294444444,253.43269444444,301.14838888888,805.81036111112,1197.00602777778,802.47366666666,980.49863888888,1202.37847222222,1568.7631388889,2495.2941666666,11254.9049722222,12.0855555555556,0.44263888888888,0.0119444444444444,0.0009722222222222,1511009.0,969549.0,794176.0,35960.0,20119.0,3363.0,770640.0,656099.0,1885385.0,15913.0,2882.0,132.0,107567.0,425887.0,1283025.0,13321.0,2785.0,128.0,30531.0,259115.0,470650.0,10338.0,1126.0,36.0,18271.0,138064.0,174095.0,9125.0,724.0,12.0,1497.0,71238.0,126319.0,20673.0,2607.0,40.0,209.2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2020-01-01 03:17:00,664950.0,17795.0,24086723.0,2349.0,7081.0,2140204.0,3361350.0,1946581.0,5414866.0,24211336.0,906571.0,56882.0,0.0,0.0,126.0,2832194.0,1883300.0,1027093.0,1959907.0,25646142.0,173760.0,0.0,0.0,0.0,0.0,24539930.0,0.0,3431.0,1309.0,1270.0,2238.0,798.0,501.0,1082.0,664.0,430.0,1378.0,330.0,435289.0,6862791.0,11240775.0,4652367.0,3243565.0,1928402.0,1062985.0,613730.0,459998.0,444171.0,1944792.0,425.70291666666,150.06538888889,154.957444444444,174.935444444444,188.728722222222,215.94580555556,272.09119444444,323.56311111112,870.52066666666,1275.65852777778,849.73319444444,1031.99275,1271.25266666666,1652.499,2598.2186944444,11730.4436111112,12.8885277777778,0.45336111111112,0.0119444444444444,0.0009722222222222,1590614.0,1023761.0,833321.0,42840.0,24023.0,3555.0,797104.0,690284.0,1958590.0,17237.0,3150.0,148.0,111051.0,448843.0,1347461.0,14442.0,3257.0,144.0,32567.0,275283.0,490564.0,11243.0,1366.0,36.0,19396.0,147466.0,182201.0,9925.0,784.0,12.0,1530.0,74303.0,133599.0,21950.0,2707.0,48.0,208.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2020-01-01 03:18:00,702165.0,19013.0,25457104.0,2542.0,7082.0,2263159.0,3519045.0,2019242.0,5649721.0,25739026.0,926806.0,56882.0,0.0,0.0,126.0,2978237.0,1951966.0,1057227.0,2032525.0,27183704.0,182652.0,0.0,0.0,0.0,0.0,25904190.0,0.0,3557.0,1411.0,1381.0,2436.0,868.0,543.0,1172.0,700.0,464.0,1477.0,349.0,453673.0,7278615.0,11882463.0,4950075.0,3425821.0,2005010.0,1101157.0,635522.0,477362.0,454911.0,2038987.0,444.02322222222,159.53413888889,163.79813888889,184.571611111112,199.411027777778,227.85766666666,287.62541666666,341.01619444444,918.89619444444,1341.01997222222,896.23452777778,1087.67608333334,1340.62883333334,1749.41352777778,2699.9106388888,12350.8489722222,13.6943055555556,0.46838888888888,0.0119444444444444,0.0009722222222222,1679648.0,1090983.0,873633.0,47960.0,25780.0,3595.0,835869.0,739841.0,2072075.0,18322.0,3374.0,152.0,114364.0,473568.0,1423126.0,15131.0,3522.0,148.0,34544.0,289911.0,509737.0,11804.0,1501.0,36.0,20624.0,155490.0,188661.0,10474.0,878.0,12.0,1562.0,77031.0,138703.0,23186.0,3044.0,48.0,206.4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2020-01-01 03:19:00,756555.0,21345.0,27422760.0,2950.0,7082.0,2434054.0,3660316.0,2100782.0,5942011.0,27954211.0,1011211.0,59102.0,0.0,0.0,154.0,3159990.0,2021347.0,1093692.0,2107002.0,29411072.0,195340.0,0.0,0.0,0.0,0.0,27809590.0,0.0,3668.0,1462.0,1414.0,2541.0,922.0,570.0,1226.0,718.0,491.0,1576.0,382.0,490057.0,7774155.0,12797703.0,5356515.0,3659029.0,2121782.0,1169917.0,681446.0,528446.0,487527.0,2146397.0,465.39077777778,169.105055555556,173.479027777778,195.786916666666,212.52216666666,242.00538888888,307.29313888888,364.61616666666,990.46102777778,1452.28969444444,973.90536111112,1178.57102777778,1447.45858333334,1905.40855555556,2952.1969444444,13162.3456388888,14.9583333333334,0.53636111111112,0.0119444444444444,0.0009722222222222,1805188.0,1189607.0,953445.0,49940.0,26457.0,3627.0,888705.0,787369.0,2222615.0,19206.0,3542.0,152.0,118541.0,505852.0,1509514.0,15987.0,3750.0,148.0,36808.0,312696.0,540485.0,12496.0,1618.0,36.0,22444.0,169842.0,202565.0,11127.0,963.0,12.0,1672.0,87147.0,154883.0,26982.0,3529.0,52.0,204.6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
