source,time_step,RUL,event,Spec_1_Cat1,459_8,272_3,272_0,459_18,Spec_1_Cat12,158_7,397_7,272_1,Spec_7_Cat1
52,2020-01-01 03:10:00,224.8,1,1,376.96344444444,802504.0,1369225.0,0.0053611111111112,0,282852.0,274189.0,872131.0,1
52,2020-01-01 03:11:00,222.0,1,1,459.20238888888,1070694.0,1639144.0,0.0053611111111112,0,377557.0,337455.0,1062425.0,1
52,2020-01-01 03:12:00,216.4,1,1,537.69711111112,1471198.0,2067429.0,0.0053611111111112,0,450865.0,425599.0,1439464.0,1
52,2020-01-01 03:13:00,213.0,1,1,695.51708333334,1733226.0,2337387.0,0.0119444444444444,0,551810.0,561023.0,1683462.0,1
52,2020-01-01 03:14:00,212.2,1,1,702.70475,1764140.0,2458171.0,0.0119444444444444,0,552722.0,577887.0,1701987.0,1
52,2020-01-01 03:15:00,210.8,1,1,750.90602777778,1840827.0,2623414.0,0.0119444444444444,0,572558.0,616271.0,1789803.0,1
52,2020-01-01 03:16:00,209.2,1,1,805.81036111112,1900172.0,2737437.0,0.0119444444444444,0,588842.0,656099.0,1836188.0,1
52,2020-01-01 03:17:00,208.0,1,1,870.52066666666,1959907.0,2832194.0,0.0119444444444444,0,613730.0,690284.0,1883300.0,1
52,2020-01-01 03:18:00,206.4,1,1,918.89619444444,2032525.0,2978237.0,0.0119444444444444,0,635522.0,739841.0,1951966.0,1
52,2020-01-01 03:19:00,204.6,1,1,990.46102777778,2107002.0,3159990.0,0.0119444444444444,0,681446.0,787369.0,2021347.0,1
52,2020-01-01 03:20:00,204.4,1,1,992.16630555556,2154049.0,3211990.0,0.0119444444444444,0,681578.0,792861.0,2035700.0,1
52,2020-01-01 03:21:00,203.6,1,1,994.59272222222,2166789.0,3249548.0,0.0119444444444444,0,681578.0,796730.0,2064964.0,1
52,2020-01-01 03:22:00,202.4,1,1,1077.587,2286103.0,3472849.0,0.0119444444444444,0,718778.0,876574.0,2183641.0,1
52,2020-01-01 03:23:00,200.6,1,1,1149.66969444444,2391754.0,3575380.0,0.0119444444444444,0,757298.0,925134.0,2323911.0,1
52,2020-01-01 03:24:00,198.2,1,1,1195.10363888888,2499524.0,3745381.0,0.0119444444444444,0,773726.0,990311.0,2391212.0,1
52,2020-01-01 03:25:00,196.6,1,1,1237.44444444444,2551719.0,3816582.0,0.0119444444444444,0,800630.0,1009699.0,2440093.0,1
52,2020-01-01 03:26:00,193.8,1,1,1292.90247222222,2652690.0,3934713.0,0.021416666666666,0,824282.0,1052051.0,2510527.0,1
52,2020-01-01 03:27:00,192.6,1,1,1360.56572222222,2726088.0,4000663.0,0.021416666666666,0,854942.0,1084996.0,2580818.0,1
