source,time_step,RUL,event,Spec_2_Cat8,158_9,459_5,459_19,Spec_7_Cat7,459_16,459_14,158_3,Spec_3_Cat3,397_26,397_18,397_30,158_1,397_32,272_6,397_25,397_17,291_7,158_4,397_11,459_18,291_2,291_6,459_9,Spec_6_Cat3,459_10,666_0,397_23,Spec_2_Cat3,Spec_7_Cat2,397_27,Spec_1_Cat3,Spec_3_Cat2,397_14,Spec_7_Cat1,158_7,Spec_1_Cat1,397_6,Spec_1_Cat4,167_4,Spec_5_Cat1,Spec_7_Cat6,459_0,158_2,291_9,397_3,459_1,459_2,835_0,397_8,459_3,397_24,291_0,272_8,Spec_6_Cat4,Spec_1_Cat2,167_3,Spec_6_Cat2,397_15,167_5,167_7,167_6,397_9,272_7,272_0,397_28,Spec_5_Cat2,397_29,Spec_2_Cat2,309_0,167_9,100_0,397_12,272_2,459_7,397_34,Spec_1_Cat16,Spec_7_Cat4,397_5,397_10,272_5,158_8,397_31,Spec_6_Cat1,291_4,Spec_1_Cat9,158_5,397_35,167_1,291_10,291_5,459_6,272_9,459_13,459_12,397_33,397_7,427_0,171_0,Spec_1_Cat15
52,2020-01-01 03:10:00,224.8,1,0,197821.0,97.043972222222,0.0009722222222222,0,5.8238611111112,1004.07038888888,1797048.0,0,87034.0,13299.0,932.0,2888534.0,57354.0,0.0,66334.0,40.0,258.0,1265724.0,36.0,0.0053611111111112,606.0,411.0,553.02763888888,0,366.55358333334,7274.0,16.0,0,0,5257.0,0,0,520290.0,1,282852.0,1,420472.0,0,2491680.0,0,0,212.71138888888,5024581.0,618.0,12673.0,72.330027777778,68.587583333334,10416160.0,852770.0,79.896166666666,9949.0,1424.0,0.0,0,0,823245.0,0,6481.0,9851850.0,18646.0,376755.0,7677.0,0.0,1369225.0,414.0,0,0.0,0,28.0,0.0,945490.0,58634.0,441663.0,142.933277777778,816.0,0,0,1048.0,1243.0,47126.0,205789.0,32240.0,0,363.0,0,836593.0,24.0,1124866.0,159.0,222.0,120.000861111112,0.0,682.52322222222,534.16280555556,8153.0,274189.0,9960633.0,273630.0,0
52,2020-01-01 03:11:00,222.0,1,0,300949.0,115.104055555556,0.0009722222222222,0,6.8943333333334,1417.18344444444,2272464.0,0,113155.0,16651.0,1060.0,3642194.0,81598.0,0.0,83279.0,80.0,294.0,1635468.0,84.0,0.0053611111111112,702.0,469.0,693.86591666666,0,470.30083333334,9185.0,32.0,0,0,6461.0,0,0,691982.0,1,377557.0,1,483030.0,0,3280275.0,0,0,244.32613888888,6152689.0,697.0,24645.0,82.851416666666,82.72275,13186420.0,1066115.0,97.021444444444,11289.0,1733.0,0.0,0,0,1045155.0,0,7921.0,12497715.0,33706.0,502035.0,9209.0,0.0,1639144.0,502.0,0,4.0,0,70.0,0.0,1086760.0,66171.0,552774.0,173.237222222222,1949.0,0,0,2404.0,1567.0,84527.0,275317.0,46856.0,0,414.0,0,1100881.0,40.0,1288156.0,189.0,255.0,146.76838888889,0.0,896.27197222222,701.36122222222,12249.0,337455.0,12852203.0,355800.0,0
52,2020-01-01 03:12:00,216.4,1,0,350426.0,136.858305555556,0.0009722222222222,0,9.1133055555556,1789.4306388889,3008977.0,0,135363.0,21067.0,1140.0,4467938.0,95094.0,0.0,101451.0,104.0,363.0,2050525.0,96.0,0.0053611111111112,846.0,559.0,835.34822222222,0,560.94916666666,10648.0,36.0,0,0,7271.0,0,0,872170.0,1,450865.0,1,583766.0,0,4172685.0,0,0,308.37169444444,7705885.0,880.0,26613.0,98.765694444444,97.471888888888,16454750.0,1337807.0,114.89675,13321.0,2117.0,0.0,0,0,1396860.0,0,9370.0,15249285.0,50176.0,653625.0,10998.0,0.0,2067429.0,546.0,0,4.0,0,84.0,0.0,1384246.0,83336.0,760358.0,204.55891666666,2173.0,0,0,2512.0,1907.0,113283.0,324001.0,53656.0,0,495.0,0,1330561.0,40.0,1536376.0,234.0,285.0,173.33363888889,0.0,1102.00727777778,862.30980555556,15289.0,425599.0,15975763.0,444795.0,0
52,2020-01-01 03:13:00,213.0,1,0,415082.0,174.804611111112,0.0009722222222222,0,11.1333611111112,2269.8388055556,3885434.0,0,162696.0,25708.0,1372.0,5626779.0,120390.0,0.0,124967.0,112.0,480.0,2725549.0,104.0,0.0119444444444444,1065.0,706.0,1060.02697222222,0,724.56544444444,14736.0,36.0,0,0,8476.0,0,0,1147262.0,1,551810.0,1,675815.0,0,4777140.0,0,0,365.23169444444,9610333.0,1120.0,30214.0,121.180833333334,122.434583333334,20810560.0,1663183.0,142.286666666666,16129.0,2849.0,0.0,0,0,1671030.0,0,11775.0,20222205.0,56882.0,862065.0,13859.0,0.0,2337387.0,646.0,0,8.0,0,112.0,0.0,1690161.0,96800.0,902176.0,261.91527777778,2574.0,0,0,3264.0,2407.0,145458.0,410101.0,67721.0,0,576.0,0,1686601.0,40.0,1702832.0,285.0,342.0,221.85286111112,0.0,1429.5828888889,1079.90269444444,19885.0,561023.0,20336878.0,566205.0,0
52,2020-01-01 03:14:00,212.2,1,0,415334.0,176.247555555556,0.0009722222222222,0,11.1380555555556,2303.1103888888,3936855.0,0,162854.0,26124.0,1389.0,5788971.0,120495.0,0.0,125539.0,116.0,484.0,2747989.0,120.0,0.0119444444444444,1078.0,712.0,1071.24780555556,0,733.91122222222,14743.0,36.0,0,0,8484.0,0,0,1153643.0,1,552722.0,1,705931.0,0,4895160.0,0,0,377.40125,9737162.0,1138.0,30467.0,123.936,124.562027777778,21107140.0,1680080.0,143.626138888888,16365.0,2924.0,0.0,0,0,1701840.0,0,11868.0,20365710.0,56882.0,862065.0,14036.0,0.0,2458171.0,646.0,0,8.0,0,112.0,0.0,1733301.0,98397.0,919817.0,264.51280555556,2574.0,0,0,3264.0,2447.0,145979.0,410234.0,67766.0,0,591.0,0,1692949.0,40.0,1812798.0,288.0,348.0,223.78508333334,0.0,1447.64161111112,1094.65438888888,19885.0,577887.0,20581881.0,572400.0,0
52,2020-01-01 03:15:00,210.8,1,0,421370.0,187.88013888889,0.0009722222222222,0,11.4597222222222,2414.00825,4197363.0,0,168806.0,28286.0,1473.0,6156015.0,122675.0,0.0,132348.0,116.0,532.0,2923693.0,120.0,0.0119444444444444,1150.0,808.0,1127.21863888888,0,768.16852777778,15443.0,36.0,0,0,8813.0,0,0,1223380.0,1,572558.0,1,745935.0,0,5069851.0,0,0,397.76677777778,10264706.0,1201.0,31695.0,133.057666666666,134.530916666666,22299400.0,1788557.0,153.160833333334,17277.0,3104.0,0.0,0,0,1802955.0,0,12604.0,21651900.0,56882.0,863656.0,14888.0,0.0,2623414.0,671.0,0,8.0,0,112.0,0.0,1821367.0,103970.0,966786.0,281.17619444444,2595.0,0,0,3273.0,2620.0,150503.0,423170.0,69122.0,0,660.0,0,1779854.0,40.0,1957548.0,306.0,396.0,237.63477777778,0.0,1512.33327777778,1147.64822222222,20253.0,616271.0,21767197.0,604380.0,0
52,2020-01-01 03:16:00,209.2,1,0,429027.0,200.30294444444,0.0009722222222222,0,12.0855555555556,2495.2941666666,4437267.0,0,174095.0,30531.0,1497.0,6503319.0,126319.0,0.0,138064.0,128.0,601.0,3068701.0,132.0,0.0119444444444444,1201.0,926.0,1197.00602777778,0,802.47366666666,16367.0,36.0,0,0,9125.0,0,0,1283025.0,1,588842.0,1,770640.0,0,5238766.0,0,0,410.77341666666,10754187.0,1291.0,35960.0,141.101694444444,144.317361111112,23392560.0,1885385.0,163.493083333334,18271.0,3263.0,0.0,0,0,1865356.0,0,13321.0,22919205.0,56882.0,863881.0,15913.0,0.0,2737437.0,724.0,0,12.0,0,112.0,0.0,1875507.0,107567.0,987833.0,301.14838888888,2607.0,0,0,3363.0,2882.0,158342.0,436610.0,71238.0,0,717.0,0,1849946.0,40.0,2065054.0,318.0,441.0,253.43269444444,0.0,1568.7631388889,1202.37847222222,20673.0,656099.0,22912143.0,634320.0,0
52,2020-01-01 03:17:00,208.0,1,0,444171.0,215.94580555556,0.0009722222222222,0,12.8885277777778,2598.2186944444,4652367.0,0,182201.0,32567.0,1530.0,6862791.0,133599.0,0.0,147466.0,144.0,664.0,3243565.0,148.0,0.0119444444444444,1270.0,1082.0,1275.65852777778,0,849.73319444444,17795.0,36.0,0,0,9925.0,0,0,1347461.0,1,613730.0,1,797104.0,0,5414866.0,0,0,425.70291666666,11240775.0,1378.0,42840.0,150.06538888889,154.957444444444,24539930.0,1958590.0,174.935444444444,19396.0,3431.0,0.0,0,0,1946581.0,0,14442.0,24211336.0,56882.0,906571.0,17237.0,0.0,2832194.0,784.0,0,12.0,0,126.0,0.0,1944792.0,111051.0,1027093.0,323.56311111112,2707.0,0,0,3555.0,3150.0,173760.0,459998.0,74303.0,0,798.0,0,1928402.0,48.0,2140204.0,330.0,501.0,272.09119444444,0.0,1652.499,1271.25266666666,21950.0,690284.0,24086723.0,664950.0,0
52,2020-01-01 03:18:00,206.4,1,0,454911.0,227.85766666666,0.0009722222222222,0,13.6943055555556,2699.9106388888,4950075.0,0,188661.0,34544.0,1562.0,7278615.0,138703.0,0.0,155490.0,148.0,700.0,3425821.0,152.0,0.0119444444444444,1381.0,1172.0,1341.01997222222,0,896.23452777778,19013.0,36.0,0,0,10474.0,0,0,1423126.0,1,635522.0,1,835869.0,0,5649721.0,0,0,444.02322222222,11882463.0,1477.0,47960.0,159.53413888889,163.79813888889,25904190.0,2072075.0,184.571611111112,20624.0,3557.0,0.0,0,0,2019242.0,0,15131.0,25739026.0,56882.0,926806.0,18322.0,0.0,2978237.0,878.0,0,12.0,0,126.0,0.0,2038987.0,114364.0,1057227.0,341.01619444444,3044.0,0,0,3595.0,3374.0,182652.0,477362.0,77031.0,0,868.0,0,2005010.0,48.0,2263159.0,349.0,543.0,287.62541666666,0.0,1749.41352777778,1340.62883333334,23186.0,739841.0,25457104.0,702165.0,0
52,2020-01-01 03:19:00,204.6,1,0,487527.0,242.00538888888,0.0009722222222222,0,14.9583333333334,2952.1969444444,5356515.0,0,202565.0,36808.0,1672.0,7774155.0,154883.0,0.0,169842.0,148.0,718.0,3659029.0,152.0,0.0119444444444444,1414.0,1226.0,1452.28969444444,0,973.90536111112,21345.0,36.0,0,0,11127.0,0,0,1509514.0,1,681446.0,1,888705.0,0,5942011.0,0,0,465.39077777778,12797703.0,1576.0,49940.0,169.105055555556,173.479027777778,27809590.0,2222615.0,195.786916666666,22444.0,3668.0,0.0,0,0,2100782.0,0,15987.0,27954211.0,59102.0,1011211.0,19206.0,0.0,3159990.0,963.0,0,12.0,0,154.0,0.0,2146397.0,118541.0,1093692.0,364.61616666666,3529.0,0,0,3627.0,3542.0,195340.0,528446.0,87147.0,0,922.0,0,2121782.0,52.0,2434054.0,382.0,570.0,307.29313888888,0.0,1905.40855555556,1447.45858333334,26982.0,787369.0,27422760.0,756555.0,0
