source,time_step,RUL,event,459_15,167_5,459_8,459_11,835_0,459_14,397_23,309_0,167_0,158_8,397_6,158_6,370_0,Spec_1_Cat1,167_8,272_6,167_1,291_2,459_16,291_0,397_4,397_35,459_12,397_2,397_7
52,2020-01-01 03:10:00,224.8,1,4880.1028055556,9851850.0,376.96344444444,434.84433333334,10416160.0,1004.07038888888,16.0,28.0,0.0,205789.0,420472.0,492840.0,0.0,1,0.0,0.0,1124866.0,606.0,5.8238611111112,1424.0,5618.0,24.0,534.16280555556,333186.0,274189.0
52,2020-01-01 03:11:00,222.0,1,6357.2859166666,12497715.0,459.20238888888,562.77055555556,13186420.0,1417.18344444444,32.0,70.0,1441.0,275317.0,483030.0,637945.0,0.0,1,0.0,0.0,1288156.0,702.0,6.8943333333334,1733.0,12684.0,40.0,701.36122222222,445355.0,337455.0
52,2020-01-01 03:12:00,216.4,1,7985.7989444444,15249285.0,537.69711111112,685.88977777778,16454750.0,1789.4306388889,36.0,84.0,6511.0,324001.0,583766.0,765133.0,0.0,1,0.0,0.0,1536376.0,846.0,9.1133055555556,2117.0,16080.0,40.0,862.30980555556,555347.0,425599.0
52,2020-01-01 03:13:00,213.0,1,10167.5515,20222205.0,695.51708333334,884.28386111112,20810560.0,2269.8388055556,36.0,112.0,7081.0,410101.0,675815.0,946285.0,0.0,1,0.0,0.0,1702832.0,1065.0,11.1333611111112,2849.0,17741.0,40.0,1079.90269444444,720928.0,561023.0
52,2020-01-01 03:14:00,212.2,1,10209.5224166666,20365710.0,702.70475,893.76855555556,21107140.0,2303.1103888888,36.0,112.0,7081.0,410234.0,705931.0,948601.0,0.0,1,0.0,0.0,1812798.0,1078.0,11.1380555555556,2924.0,17793.0,40.0,1094.65438888888,726620.0,577887.0
52,2020-01-01 03:15:00,210.8,1,10760.3228888888,21651900.0,750.90602777778,933.52341666666,22299400.0,2414.00825,36.0,112.0,7081.0,423170.0,745935.0,985561.0,0.0,1,0.0,0.0,1957548.0,1150.0,11.4597222222222,3104.0,18086.0,40.0,1147.64822222222,762224.0,616271.0
52,2020-01-01 03:16:00,209.2,1,11254.9049722222,22919205.0,805.81036111112,980.49863888888,23392560.0,2495.2941666666,36.0,112.0,7081.0,436610.0,770640.0,1018429.0,0.0,1,0.0,0.0,2065054.0,1201.0,12.0855555555556,3263.0,20119.0,40.0,1202.37847222222,794176.0,656099.0
52,2020-01-01 03:17:00,208.0,1,11730.4436111112,24211336.0,870.52066666666,1031.99275,24539930.0,2598.2186944444,36.0,126.0,7081.0,459998.0,797104.0,1062985.0,0.0,1,0.0,0.0,2140204.0,1270.0,12.8885277777778,3431.0,24023.0,48.0,1271.25266666666,833321.0,690284.0
52,2020-01-01 03:18:00,206.4,1,12350.8489722222,25739026.0,918.89619444444,1087.67608333334,25904190.0,2699.9106388888,36.0,126.0,7082.0,477362.0,835869.0,1101157.0,0.0,1,0.0,0.0,2263159.0,1381.0,13.6943055555556,3557.0,25780.0,48.0,1340.62883333334,873633.0,739841.0
52,2020-01-01 03:19:00,204.6,1,13162.3456388888,27954211.0,990.46102777778,1178.57102777778,27809590.0,2952.1969444444,36.0,154.0,7082.0,528446.0,888705.0,1169917.0,0.0,1,0.0,0.0,2434054.0,1414.0,14.9583333333334,3668.0,26457.0,52.0,1447.45858333334,953445.0,787369.0
52,2020-01-01 03:20:00,204.4,1,13185.38925,27954211.0,992.16630555556,1180.82986111112,27906220.0,2957.07175,36.0,154.0,7083.0,528567.0,893406.0,1170169.0,0.0,1,0.0,0.0,2462809.0,1426.0,14.9583333333334,3683.0,26457.0,52.0,1449.90280555556,954485.0,792861.0
52,2020-01-01 03:21:00,203.6,1,13190.3471388888,27954212.0,994.59272222222,1181.57175,27986000.0,2959.3941111112,36.0,154.0,7083.0,528567.0,901223.0,1170169.0,0.0,1,0.0,0.0,2491714.0,1439.0,14.9583333333334,3728.0,26526.0,52.0,1450.718,955158.0,796730.0
52,2020-01-01 03:22:00,202.4,1,13466.1309444444,29748453.0,1077.587,1315.79630555556,29714020.0,3212.4033333334,36.0,154.0,7083.0,572715.0,951507.0,1232389.0,0.0,1,0.0,0.0,2609134.0,1536.0,15.1435833333334,3929.0,27063.0,52.0,1626.51808333334,989034.0,876574.0
52,2020-01-01 03:23:00,200.6,1,13794.5053888888,31252593.0,1149.66969444444,1414.53961111112,31192970.0,3411.2640555556,48.0,154.0,7083.0,636687.0,986183.0,1280305.0,0.0,1,0.0,0.0,2682755.0,1627.0,15.38225,4070.0,29919.0,52.0,1758.59944444444,1029698.0,925134.0
52,2020-01-01 03:24:00,198.2,1,14404.3404166666,33236013.0,1195.10363888888,1480.95708333334,32947160.0,3635.3209444444,56.0,154.0,7083.0,656007.0,1032759.0,1304294.0,0.0,1,0.0,0.0,2841800.0,1675.0,16.0825,4262.0,31384.0,56.0,1848.73975,1082106.0,990311.0
52,2020-01-01 03:25:00,196.6,1,15443.8715555556,34817463.0,1237.44444444444,1519.12441666666,34381160.0,3703.3569722222,60.0,154.0,7083.0,686403.0,1069503.0,1348766.0,0.0,1,0.0,0.0,2889036.0,1723.0,18.74725,4373.0,33124.0,60.0,1893.08536111112,1137063.0,1009699.0
52,2020-01-01 03:26:00,193.8,1,15802.7218055556,35960238.0,1292.90247222222,1589.74483333334,35660550.0,3795.1413055556,60.0,154.0,7083.0,715924.0,1119215.0,1375454.0,0.0,1,0.0,0.0,2991306.0,1888.0,19.079138888889,4766.0,34296.0,64.0,1963.25505555556,1171523.0,1052051.0
52,2020-01-01 03:27:00,192.6,1,16278.6912777778,37463674.0,1360.56572222222,1668.30169444444,37002710.0,3926.7344166666,60.0,168.0,7083.0,763277.0,1146827.0,1418762.0,0.0,1,0.0,0.0,3038916.0,1939.0,19.6754722222222,4946.0,36017.0,64.0,2056.7470833334,1222817.0,1084996.0
52,2020-01-01 03:28:00,191.2,1,16485.5205833334,38387359.0,1395.81383333334,1715.65502777778,37869540.0,3990.2170555556,64.0,168.0,7083.0,780270.0,1177477.0,1439342.0,0.0,1,0.0,0.0,3095361.0,2020.0,20.214583333334,5117.0,37157.0,64.0,2112.1321388888,1246759.0,1115739.0
52,2020-01-01 03:29:00,189.6,1,16932.3180277778,40406434.0,1478.88258333334,1830.66325,39602680.0,4155.9254166666,64.0,169.0,7083.0,823446.0,1215887.0,1494674.0,0.0,1,0.0,0.0,3150291.0,2137.0,21.205472222222,5249.0,38657.0,64.0,2244.3942222222,1306451.0,1172184.0
52,2020-01-01 03:30:00,188.4,1,17380.2188611112,42320659.0,1552.63355555556,1930.66444444444,41265610.0,4314.9433055556,68.0,211.0,7083.0,843678.0,1248996.0,1546562.0,0.0,1,0.0,0.0,3189456.0,2260.0,21.763166666666,5429.0,40101.0,64.0,2351.0459166666,1364799.0,1224004.0
52,2020-01-01 03:31:00,187.0,1,17640.015,43701034.0,1636.51441666666,2017.1361388888,42571390.0,4449.5071666666,68.0,211.0,7083.0,886555.0,1295324.0,1591898.0,0.0,1,0.0,0.0,3278046.0,2338.0,22.426111111112,5678.0,42085.0,76.0,2443.7225833334,1403943.0,1260900.0
52,2020-01-01 03:32:00,185.4,1,18088.1203333334,45324709.0,1707.78633333334,2091.39075,44171810.0,4574.7507777778,68.0,212.0,7083.0,911503.0,1341364.0,1629050.0,0.0,1,0.0,0.0,3323526.0,2434.0,23.122416666666,5925.0,42882.0,76.0,2536.0360277778,1453353.0,1309737.0
52,2020-01-01 03:33:00,183.8,1,18394.2660833334,46556434.0,1780.04591666666,2165.3445833334,45365550.0,4681.95175,68.0,254.0,7083.0,945259.0,1375105.0,1671326.0,0.0,1,0.0,0.0,3351921.0,2518.0,23.9225,6130.0,44016.0,76.0,2610.2185833334,1497946.0,1339589.0
52,2020-01-01 03:34:00,182.8,1,18718.3515555556,48078574.0,1833.33725,2230.2513055556,46726321.0,4878.4013055556,68.0,254.0,7083.0,956779.0,1412649.0,1703738.0,0.0,1,0.0,0.0,3405771.0,2623.0,24.068555555556,6323.0,44294.0,76.0,2700.2938888888,1530870.0,1397553.0
52,2020-01-01 03:35:00,181.2,1,18908.9666666666,49488574.0,1900.78483333334,2327.9179722222,47999371.0,5081.2181111112,72.0,255.0,7084.0,988087.0,1443973.0,1747082.0,0.0,1,0.0,0.0,3417246.0,2725.0,24.313777777778,6473.0,45682.0,76.0,2810.3213055556,1569530.0,1443641.0
52,2020-01-01 03:36:00,180.6,1,19509.8585,50789569.0,1924.78455555556,2366.7283055556,49111301.0,5192.9767777778,72.0,255.0,7084.0,1016180.0,1463101.0,1779002.0,0.0,1,0.0,52.0,3426967.0,2795.0,26.109888888888,6519.0,46774.0,76.0,2856.9799166666,1640743.0,1467917.0
52,2020-01-01 03:37:00,179.6,1,19516.6097222222,50842519.0,1931.03116666666,2368.4162777778,49174111.0,5196.95375,72.0,255.0,7084.0,1017128.0,1469837.0,1780970.0,0.0,1,0.0,52.0,3431737.0,2807.0,26.135361111112,6540.0,46882.0,76.0,2858.7281111112,1642036.0,1469661.0
52,2020-01-01 03:38:00,179.0,1,19712.6443611112,51901400.0,1976.0798888889,2419.1472222222,50069271.0,5279.8590555556,72.0,255.0,7084.0,1028372.0,1491738.0,1801838.0,0.0,1,0.0,52.0,3444577.0,2861.0,26.415944444444,6612.0,47642.0,76.0,2915.2593888888,1670221.0,1505049.0
52,2020-01-01 03:39:00,178.0,1,19803.5022222222,52299560.0,1992.73116666666,2436.2894166666,50466371.0,5327.0125555556,72.0,255.0,7084.0,1032608.0,1503374.0,1810994.0,0.0,1,0.0,52.0,3468112.0,2882.0,26.479305555556,6663.0,47930.0,76.0,2938.2380277778,1679849.0,1516277.0
52,2020-01-01 03:40:00,177.2,1,20176.909416666,54021320.0,2071.9863333334,2530.592,52004742.0,5484.9492777778,72.0,255.0,7084.0,1072028.0,1539031.0,1857674.0,0.0,1,0.0,52.0,3532537.0,2945.0,26.826472222222,6798.0,51618.0,76.0,3036.8668333334,1731085.0,1546319.0
52,2020-01-01 03:41:00,175.8,1,21085.62,55932605.0,2114.24,2570.6581388888,53639692.0,5604.2588055556,72.0,255.0,7084.0,1096148.0,1561379.0,1907510.0,0.0,1,0.0,52.0,3563452.0,3026.0,29.080555555556,6927.0,53218.0,76.0,3086.7230277778,1822137.0,1565177.0
52,2020-01-01 03:42:00,174.2,1,21930.922138888,58355031.0,2181.6921388888,2662.9093888888,55537592.0,5810.6184722222,72.0,255.0,7084.0,1160804.0,1586991.0,1975802.0,0.0,1,0.0,52.0,3608107.0,3080.0,30.296888888888,7020.0,54922.0,76.0,3211.7002777778,1885594.0,1587150.0
52,2020-01-01 03:43:00,173.0,1,22396.271888888,60017511.0,2243.0757777778,2732.9066388888,56966352.0,5987.5519444444,72.0,255.0,7084.0,1201196.0,1618552.0,2035382.0,0.0,1,0.0,52.0,3682447.0,3149.0,31.253666666666,7215.0,57294.0,76.0,3300.7290277778,1940351.0,1605247.0
52,2020-01-01 03:44:00,171.4,1,22866.910388888,61849896.0,2328.2080833334,2824.3371944444,58550162.0,6147.2238611112,72.0,255.0,7084.0,1261976.0,1647864.0,2097626.0,0.0,1,0.0,52.0,3739042.0,3240.0,32.258777777778,7371.0,60050.0,76.0,3414.7550555556,1995559.0,1626304.0
52,2020-01-01 03:45:00,170.0,1,23480.597361112,63576096.0,2398.8276111112,2896.8825833334,60138773.0,6241.0202777778,72.0,255.0,7084.0,1301469.0,1686216.0,2148062.0,0.0,1,0.0,52.0,3802087.0,3429.0,33.445388888888,7572.0,63524.0,76.0,3494.3390277778,2062856.0,1645741.0
52,2020-01-01 03:46:00,168.6,1,24232.900138888,65601036.0,2460.5790277778,2959.8858888888,61796163.0,6475.4449166666,72.0,255.0,7085.0,1354713.0,1714105.0,2211602.0,0.0,1,0.0,52.0,3880387.0,3462.0,35.146694444444,7740.0,64756.0,76.0,3578.3846666666,2137212.0,1667073.0
52,2020-01-01 03:47:00,167.2,1,25012.607444444,67590651.0,2515.9575,3036.3680277778,63513863.0,6615.78975,72.0,255.0,7086.0,1408737.0,1739697.0,2267330.0,0.0,1,0.0,52.0,3933442.0,3528.0,36.560138888888,7887.0,66572.0,76.0,3668.1408611112,2206554.0,1683369.0
52,2020-01-01 03:48:00,164.6,1,25890.314944444,70155366.0,2600.3769444444,3150.8468888888,65634063.0,6846.7840833334,72.0,255.0,7086.0,1499553.0,1776062.0,2350178.0,0.0,1,0.0,52.0,4015643.0,3612.0,38.409388888888,8035.0,69537.0,80.0,3790.3282222222,2302178.0,1707203.0
52,2020-01-01 03:49:00,164.2,1,26468.748722222,72175836.0,2665.1199722222,3229.2063611112,67453913.0,7145.9875833334,72.0,255.0,7087.0,1558101.0,1804282.0,2420714.0,0.0,1,0.0,52.0,4099448.0,3751.0,39.425222222222,8197.0,71110.0,80.0,3894.2098888888,2378623.0,1740791.0
52,2020-01-01 03:50:00,163.2,1,27264.447361112,73531461.0,2689.0599444444,3269.2090277778,68675573.0,7272.3408333334,72.0,256.0,7087.0,1583865.0,1832274.0,2475998.0,0.0,1,0.0,52.0,4173293.0,3787.0,41.306333333334,8272.0,72634.0,80.0,3945.6731666666,2445932.0,1751375.0
52,2020-01-01 03:51:00,161.8,1,27865.821861112,74989731.0,2763.1713611112,3335.9995,70103293.0,7391.3259166666,72.0,257.0,7087.0,1626274.0,1852334.0,2538446.0,0.0,1,0.0,52.0,4210493.0,3856.0,42.324277777778,8450.0,73758.0,80.0,4029.6692777778,2496666.0,1772544.0
52,2020-01-01 03:52:00,160.4,1,28646.858138888,76689097.0,2813.0923055556,3396.7219722222,71601153.0,7618.4446944444,72.0,258.0,7087.0,1687366.0,1877042.0,2608646.0,0.0,1,0.0,52.0,4263578.0,3904.0,43.770166666666,8540.0,76200.0,80.0,4105.4783055556,2577391.0,1789020.0
