source,time_step,RUL,event,Spec_1_Cat3,167_6,167_1,397_8,291_10,Spec_1_Cat5,158_6,397_23,397_12,397_7,370_0,158_3,459_10,Spec_1_Cat7,397_35,158_9,Spec_1_Cat4,397_17,459_7,459_5,459_3,Spec_1_Cat2,397_3,Spec_7_Cat4,397_13,459_12,427_0,167_0,397_1,Spec_1_Cat16,309_0,397_9,397_20,291_3,167_9,291_0,397_6,167_4,Spec_6_Cat1,397_18,459_6,Spec_1_Cat1,Spec_3_Cat2,459_4,272_6,Spec_2_Cat3,272_4,272_1,291_2,158_2,397_11,272_9,459_9,Spec_7_Cat1,459_13,397_34,291_9,397_27,Spec_5_Cat2,397_5,Spec_0_Cat1,Spec_6_Cat4,459_16,272_2,397_0,100_0,459_14,397_33,Spec_2_Cat10,397_2,272_5,291_8,397_16,Spec_1_Cat9,459_18
52,2020-01-01 03:10:00,224.8,1,0,376755.0,1124866.0,852770.0,159.0,0,492840.0,16.0,58634.0,274189.0,0.0,1797048.0,366.55358333334,0,24.0,197821.0,0,40.0,142.933277777778,97.043972222222,79.896166666666,0,12673.0,0,176193.0,534.16280555556,9960633.0,0.0,427299.0,0,28.0,7677.0,206389.0,1035.0,0.0,1424.0,420472.0,2491680.0,0,13299.0,120.000861111112,1,0,86.073222222222,0.0,0,10697414.0,872131.0,606.0,5024581.0,36.0,0.0,553.02763888888,1,682.52322222222,816.0,618.0,5257.0,0,1048.0,0,0,5.8238611111112,441663.0,673009.0,945490.0,1004.07038888888,8153.0,0,333186.0,47126.0,186.0,1177.0,0,0.0053611111111112
52,2020-01-01 03:11:00,222.0,1,0,502035.0,1288156.0,1066115.0,189.0,0,637945.0,32.0,66171.0,337455.0,0.0,2272464.0,470.30083333334,0,40.0,300949.0,0,80.0,173.237222222222,115.104055555556,97.021444444444,0,24645.0,0,220425.0,701.36122222222,12852203.0,1441.0,518496.0,0,70.0,9209.0,276405.0,1167.0,0.0,1733.0,483030.0,3280275.0,0,16651.0,146.76838888889,1,0,102.181666666666,0.0,0,13604293.0,1062425.0,702.0,6152689.0,84.0,0.0,693.86591666666,1,896.27197222222,1949.0,697.0,6461.0,0,2404.0,0,0,6.8943333333334,552774.0,853141.0,1086760.0,1417.18344444444,12249.0,0,445355.0,84527.0,207.0,1722.0,0,0.0053611111111112
52,2020-01-01 03:12:00,216.4,1,0,653625.0,1536376.0,1337807.0,234.0,0,765133.0,36.0,83336.0,425599.0,0.0,3008977.0,560.94916666666,0,40.0,350426.0,0,104.0,204.55891666666,136.858305555556,114.89675,0,26613.0,0,275934.0,862.30980555556,15975763.0,6511.0,643720.0,0,84.0,10998.0,344357.0,1401.0,0.0,2117.0,583766.0,4172685.0,0,21067.0,173.33363888889,1,0,120.377916666666,0.0,0,16626130.0,1439464.0,846.0,7705885.0,96.0,0.0,835.34822222222,1,1102.00727777778,2173.0,880.0,7271.0,0,2512.0,0,0,9.1133055555556,760358.0,1094163.0,1384246.0,1789.4306388889,15289.0,0,555347.0,113283.0,273.0,2003.0,0,0.0053611111111112
52,2020-01-01 03:13:00,213.0,1,0,862065.0,1702832.0,1663183.0,285.0,0,946285.0,36.0,96800.0,561023.0,0.0,3885434.0,724.56544444444,0,40.0,415082.0,0,112.0,261.91527777778,174.804611111112,142.286666666666,0,30214.0,0,366162.0,1079.90269444444,20336878.0,7081.0,847561.0,0,112.0,13859.0,435381.0,1731.0,0.0,2849.0,675815.0,4777140.0,0,25708.0,221.85286111112,1,0,152.190666666666,0.0,0,21624709.0,1683462.0,1065.0,9610333.0,104.0,0.0,1060.02697222222,1,1429.5828888889,2574.0,1120.0,8476.0,0,3264.0,0,0,11.1333611111112,902176.0,1361136.0,1690161.0,2269.8388055556,19885.0,0,720928.0,145458.0,363.0,2403.0,0,0.0119444444444444
52,2020-01-01 03:14:00,212.2,1,0,862065.0,1812798.0,1680080.0,288.0,0,948601.0,36.0,98397.0,577887.0,0.0,3936855.0,733.91122222222,0,40.0,415334.0,0,116.0,264.51280555556,176.247555555556,143.626138888888,0,30467.0,0,374655.0,1094.65438888888,20581881.0,7081.0,863786.0,0,112.0,14036.0,436577.0,1776.0,0.0,2924.0,705931.0,4895160.0,0,26124.0,223.78508333334,1,0,153.458083333334,0.0,0,21841913.0,1701987.0,1078.0,9737162.0,120.0,0.0,1071.24780555556,1,1447.64161111112,2574.0,1138.0,8484.0,0,3264.0,0,0,11.1380555555556,919817.0,1377872.0,1733301.0,2303.1103888888,19885.0,0,726620.0,145979.0,372.0,2416.0,0,0.0119444444444444
52,2020-01-01 03:15:00,210.8,1,0,863656.0,1957548.0,1788557.0,306.0,0,985561.0,36.0,103970.0,616271.0,0.0,4197363.0,768.16852777778,0,40.0,421370.0,0,116.0,281.17619444444,187.88013888889,153.160833333334,0,31695.0,0,400591.0,1147.64822222222,21767197.0,7081.0,918033.0,0,112.0,14888.0,453990.0,1968.0,0.0,3104.0,745935.0,5069851.0,0,28286.0,237.63477777778,1,0,163.896027777778,0.0,0,23089757.0,1789803.0,1150.0,10264706.0,120.0,0.0,1127.21863888888,1,1512.33327777778,2595.0,1201.0,8813.0,0,3273.0,0,0,11.4597222222222,966786.0,1445761.0,1821367.0,2414.00825,20253.0,0,762224.0,150503.0,384.0,2524.0,0,0.0119444444444444
52,2020-01-01 03:16:00,209.2,1,0,863881.0,2065054.0,1885385.0,318.0,0,1018429.0,36.0,107567.0,656099.0,0.0,4437267.0,802.47366666666,0,40.0,429027.0,0,128.0,301.14838888888,200.30294444444,163.493083333334,0,35960.0,0,425887.0,1202.37847222222,22912143.0,7081.0,969549.0,0,112.0,15913.0,470650.0,2103.0,0.0,3263.0,770640.0,5238766.0,0,30531.0,253.43269444444,1,0,175.245111111112,0.0,0,24334663.0,1836188.0,1201.0,10754187.0,132.0,0.0,1197.00602777778,1,1568.7631388889,2607.0,1291.0,9125.0,0,3363.0,0,0,12.0855555555556,987833.0,1511009.0,1875507.0,2495.2941666666,20673.0,0,794176.0,158342.0,397.0,2785.0,0,0.0119444444444444
52,2020-01-01 03:17:00,208.0,1,0,906571.0,2140204.0,1958590.0,330.0,0,1062985.0,36.0,111051.0,690284.0,0.0,4652367.0,849.73319444444,0,48.0,444171.0,0,144.0,323.56311111112,215.94580555556,174.935444444444,0,42840.0,0,448843.0,1271.25266666666,24086723.0,7081.0,1023761.0,0,126.0,17237.0,490564.0,2238.0,0.0,3431.0,797104.0,5414866.0,0,32567.0,272.09119444444,1,0,188.728722222222,0.0,0,25646142.0,1883300.0,1270.0,11240775.0,148.0,0.0,1275.65852777778,1,1652.499,2707.0,1378.0,9925.0,0,3555.0,0,0,12.8885277777778,1027093.0,1590614.0,1944792.0,2598.2186944444,21950.0,0,833321.0,173760.0,430.0,3257.0,0,0.0119444444444444
52,2020-01-01 03:18:00,206.4,1,0,926806.0,2263159.0,2072075.0,349.0,0,1101157.0,36.0,114364.0,739841.0,0.0,4950075.0,896.23452777778,0,48.0,454911.0,0,148.0,341.01619444444,227.85766666666,184.571611111112,0,47960.0,0,473568.0,1340.62883333334,25457104.0,7082.0,1090983.0,0,126.0,18322.0,509737.0,2436.0,0.0,3557.0,835869.0,5649721.0,0,34544.0,287.62541666666,1,0,199.411027777778,0.0,0,27183704.0,1951966.0,1381.0,11882463.0,152.0,0.0,1341.01997222222,1,1749.41352777778,3044.0,1477.0,10474.0,0,3595.0,0,0,13.6943055555556,1057227.0,1679648.0,2038987.0,2699.9106388888,23186.0,0,873633.0,182652.0,464.0,3522.0,0,0.0119444444444444
52,2020-01-01 03:19:00,204.6,1,0,1011211.0,2434054.0,2222615.0,382.0,0,1169917.0,36.0,118541.0,787369.0,0.0,5356515.0,973.90536111112,0,52.0,487527.0,0,148.0,364.61616666666,242.00538888888,195.786916666666,0,49940.0,0,505852.0,1447.45858333334,27422760.0,7082.0,1189607.0,0,154.0,19206.0,540485.0,2541.0,0.0,3668.0,888705.0,5942011.0,0,36808.0,307.29313888888,1,0,212.52216666666,0.0,0,29411072.0,2021347.0,1414.0,12797703.0,152.0,0.0,1452.28969444444,1,1905.40855555556,3529.0,1576.0,11127.0,0,3627.0,0,0,14.9583333333334,1093692.0,1805188.0,2146397.0,2952.1969444444,26982.0,0,953445.0,195340.0,491.0,3750.0,0,0.0119444444444444
